"","SS","New_LU2","sort","S0","S1","S0_S1","sigma","h"
"134","SC1_2005__Marsh 1","Permanent_crops",4.55263157894737,"3.57894736842105",4.55263157894737,1.27205882352941,-0.272058823529413,3.33070350288952
"136","SC1_2010__Marsh 2","Secondary_vegetation",8.8,"7.8",8.8,1.12820512820513,-0.128205128205128,1.8278491339114
"137","SC1_2010__Marsh 2","Permanent_crops",8.46666666666667,"7.8",8.46666666666667,1.08547008547009,-0.0854700854700856,1.50691687415303
"145","TN1_1998__Owiunji 1","Secondary_vegetation",47.3333333333333,"44.5",47.3333333333333,1.06367041198502,-0.0636704119850189,1.3615556397508
"147","TN1_2006__Soh 1","Cropland",17,"18",17,0.944444444444444,0.0555555555555556,0.75141884282545
"148","TN1_2006__Soh 1","Cannot decide",20,"18",20,1.11111111111111,-0.111111111111111,1.69350878084303
"149","TN1_2006__Soh 1","Permanent_crops",20,"18",20,1.11111111111111,-0.111111111111111,1.69350878084303
"150","TN1_2006__Soh 1","Urban",17,"18",17,0.944444444444444,0.0555555555555556,0.75141884282545
"152","TN1_2007__ODea 1","Cropland",11.2830188679245,"5.26530612244898",11.2830188679245,2.14289893228024,-1.14289893228024,45.1864728102661
"153","TN1_2007__ODea 1","Secondary_vegetation",8.22916666666667,"5.26530612244898",8.22916666666667,1.56290374677003,-0.562903746770026,9.3252645575586
"157","VK1_2012__Otto 1","Secondary_vegetation",4.9,"5.6734693877551",4.9,0.863669064748202,0.136330935251798,0.480548051563853
"159","VK1_2012__Otto 2","Secondary_vegetation",3.03846153846154,"3.69230769230769",3.03846153846154,0.822916666666667,0.177083333333333,0.377380357235058
