,zone,entity,zone_type,area_2020,area_2030,area_2050,area_2070,h_forest,h_nonforest,ss_t1_forest,ss_t0_forest,ss_t1_nonforest,ss_t0_nonforest,z,,ss_forest,ss_nonforest
58,Central Asia,Cropland,Sub_Region,384509.1755,401558.8971,450585.7476,408296.0526,,,,,,,,,,
59,Central and Western Europe,Cropland,Sub_Region,1525147.749,1672913.084,1478576.728,1390047.067,,,,,,,,,,
60,East Africa and adjacent islands,Cropland,Sub_Region,646235.0183,195586.3743,238965.9007,120160.7352,,,,,,,,,,
61,Eastern Europe,Cropland,Sub_Region,1728652.975,1840112.732,1664237.842,1652700.3,,,,,,,,,,
62,Mesoamerica,Cropland,Sub_Region,343041.3315,139907.2592,77201.13687,71917.96312,,,,,,,,,,
63,North Africa,Cropland,Sub_Region,595528.3625,415266.8757,393044.3493,344141.0611,,,,,,,,,,
64,North America,Cropland,Sub_Region,2109758.573,2301207.116,1984568.151,1929425.976,,,,,,,,,,
65,North-East Asia,Cropland,Sub_Region,1408483.454,1370346.907,1263915.091,1093739.467,,,,,,,,,,
66,Oceania,Cropland,Sub_Region,518912.885,508147.7155,466184.889,426765.8298,,,,,,,,,,
67,South America,Cropland,Sub_Region,1687252.204,596857.6631,448817.4504,432198.4119,,,,,,,,,,
68,South Asia,Cropland,Sub_Region,2475889.92,2087052.049,1917225.316,1142400.239,,,,,,,,,,
69,South-East Asia,Cropland,Sub_Region,1216864.854,475956.5214,314017.5726,23470.34501,,,,,,,,,,
70,Southern Africa,Cropland,Sub_Region,379814.9995,142797.3254,284752.5161,170584.0878,,,,,,,,,,
71,West Africa,Cropland,Sub_Region,1083554.248,138198.2372,42219.58506,16589.4789,,,,,,,,,,
72,Western Asia,Cropland,Sub_Region,147039.9475,153597.8325,162795.8956,155170.5535,,,,,,,,,,
73,Antarctica,Secondary_vegetation,Sub_Region,0,0,0,0,,,,,,,,,,
74,Caribbean,Secondary_vegetation,Sub_Region,15799.12897,43397.35009,49091.04702,47001.32482,,,,,,,,,,
75,Central Africa,Secondary_vegetation,Sub_Region,722275.0916,1044310.226,1081182.708,1112541.715,,,,,,,,,,
76,Central Asia,Secondary_vegetation,Sub_Region,163536.1936,385852.5085,391966.4855,414944.3005,,,,,,,,,,
77,Central and Western Europe,Secondary_vegetation,Sub_Region,1858325.726,2621881.956,3132556.639,3379436.549,,,,,,,,,,
78,East Africa and adjacent islands,Secondary_vegetation,Sub_Region,402850.7468,766313.7193,794437.1367,948650.6694,,,,,,,,,,
79,Eastern Europe,Secondary_vegetation,Sub_Region,1717794.372,2343925.599,3187530.723,3375217.037,,,,,,,,,,
80,Mesoamerica,Secondary_vegetation,Sub_Region,107871.0977,236971.4131,401895.0654,369992.6707,,,,,,,,,,
81,North Africa,Secondary_vegetation,Sub_Region,104909.3423,248338.3364,409137.0326,438455.8827,,,,,,,,,,
82,North America,Secondary_vegetation,Sub_Region,2079664.236,3958140.39,5394234.014,5994483.265,,,,,,,,,,
83,North-East Asia,Secondary_vegetation,Sub_Region,1189574.66,2508616.833,2980191.9,3538006.831,,,,,,,,,,
84,Oceania,Secondary_vegetation,Sub_Region,831795.2987,964633.7745,1070246.603,1089948.017,,,,,,,,,,
85,South America,Secondary_vegetation,Sub_Region,1663971.024,2604665.427,3376169.504,3283890.44,,,,,,,,,,
86,South Asia,Secondary_vegetation,Sub_Region,809919.7335,1161064.603,1342517.555,1424543.159,,,,,,,,,,
87,South-East Asia,Secondary_vegetation,Sub_Region,680981.892,872721.341,1156191.186,1256293.136,,,,,,,,,,
88,Southern Africa,Secondary_vegetation,Sub_Region,354239.5531,518092.6836,811092.9719,1154000.26,,,,,,,,,,
89,West Africa,Secondary_vegetation,Sub_Region,400630.9034,784070.2611,923472.2111,864778.7945,,,,,,,,,,
90,Western Asia,Secondary_vegetation,Sub_Region,16273.98962,126598.2516,133272.6695,139767.7634,,,,,,,,,,
