"","zone","entity","zone_type","area_2020","area_2030","area_2050","area_2070"
"67","South America","Cropland","Sub_Region",1687252.2039913,540672.267306603,440746.669488712,373413.630871553
"68","South Asia","Cropland","Sub_Region",2475889.9198133,2065151.36217915,1940830.98786529,1013499.27754384
"69","South-East Asia","Cropland","Sub_Region",1216864.85406864,470126.11358996,375219.219571142,21311.9928151105
"70","Southern Africa","Cropland","Sub_Region",379814.999466095,168080.228579341,397619.621912673,140131.238580478
"71","West Africa","Cropland","Sub_Region",1083554.24768543,97850.9699034119,98500.6187429764,19476.2942701694
"72","Western Asia","Cropland","Sub_Region",147039.947535604,150140.506558777,157324.247629114,163916.336045154
"73","Antarctica","Secondary_vegetation","Sub_Region",0,0,0,0
"74","Caribbean","Secondary_vegetation","Sub_Region",15799.128971851,38343.9334111556,46344.4542025203,47573.8140937919
"75","Central Africa","Secondary_vegetation","Sub_Region",722275.091564362,699512.008955339,675591.837456846,636093.277766979
"76","Central Asia","Secondary_vegetation","Sub_Region",163536.193640002,329001.362212606,326020.153166732,349930.108198952
"77","Central and Western Europe","Secondary_vegetation","Sub_Region",1858325.72593165,2365185.14941169,2995845.15752394,3418539.13613431
"78","East Africa and adjacent islands","Secondary_vegetation","Sub_Region",402850.746799863,481429.167466176,472307.457946446,437586.944668795
"79","Eastern Europe","Secondary_vegetation","Sub_Region",1717794.37202441,2572811.24800604,3134145.74507946,3341493.26357557
"80","Mesoamerica","Secondary_vegetation","Sub_Region",107871.097721673,175410.240369916,258194.742333191,308705.42448031
"81","North Africa","Secondary_vegetation","Sub_Region",104909.342275483,324741.179288851,350183.278133389,388153.815529736
"82","North America","Secondary_vegetation","Sub_Region",2079664.23635427,3817676.40523377,4410260.89333296,4828484.52800134
"83","North-East Asia","Secondary_vegetation","Sub_Region",1189574.66009376,1752719.87191054,1894600.20652066,2160463.15723221
"84","Oceania","Secondary_vegetation","Sub_Region",831795.298742825,1135950.351801,1190112.10198713,1354932.29267338
"85","South America","Secondary_vegetation","Sub_Region",1663971.02440686,2518720.1883477,3582482.95007869,3789989.3700745
"86","South Asia","Secondary_vegetation","Sub_Region",809919.73352856,1168453.58589065,1275428.22025568,1326532.61795477
"87","South-East Asia","Secondary_vegetation","Sub_Region",680981.891970538,754499.574745516,939186.600185486,1133195.35244866
"88","Southern Africa","Secondary_vegetation","Sub_Region",354239.553064381,390322.981521695,569566.998074564,471369.652575468
"89","West Africa","Secondary_vegetation","Sub_Region",400630.903362096,837399.812437715,741189.247675012,688329.771030578
"90","Western Asia","Secondary_vegetation","Sub_Region",16273.9896201236,242090.991483601,246147.353497854,257081.543772672
"91","Antarctica","Permanent_crops","Sub_Region",0,0,0,0
"92","Caribbean","Permanent_crops","Sub_Region",0,54200.3309569329,60786.0808663504,68530.0003607617
"93","Central Africa","Permanent_crops","Sub_Region",0,389710.041373006,504242.570482175,586439.317491631
"94","Central Asia","Permanent_crops","Sub_Region",0,0,0,0
"95","Central and Western Europe","Permanent_crops","Sub_Region",0,0,0,0
"96","East Africa and adjacent islands","Permanent_crops","Sub_Region",0,598780.823841331,847264.471586039,1039353.31315603
"97","Eastern Europe","Permanent_crops","Sub_Region",0,0,0,0
"98","Mesoamerica","Permanent_crops","Sub_Region",0,276964.15572777,327141.673919039,322894.211692843
"99","North Africa","Permanent_crops","Sub_Region",0,326637.406483974,412425.644572909,498004.641382676
"100","North America","Permanent_crops","Sub_Region",0,19091.9791370738,25285.033572136,33228.7249849461
"101","North-East Asia","Permanent_crops","Sub_Region",0,72968.1030404728,71535.7210530887,338974.622687741
"102","Oceania","Permanent_crops","Sub_Region",0,92315.0952785176,171023.898001824,187290.478378041
"103","South America","Permanent_crops","Sub_Region",0,1237862.17991626,1333840.89995178,1201624.28981663
"104","South Asia","Permanent_crops","Sub_Region",0,582987.522290937,657763.943122288,1602514.84925535
"105","South-East Asia","Permanent_crops","Sub_Region",0,853260.260088835,924660.787126318,1216876.57964614
"106","Southern Africa","Permanent_crops","Sub_Region",0,445338.765135746,663994.631405572,1068464.36731436
"107","West Africa","Permanent_crops","Sub_Region",0,1112465.12455021,1310466.50060147,1493875.51650114
"108","Western Asia","Permanent_crops","Sub_Region",0,5442.85780422045,5470.28752765189,6257.11452582444
"109","Antarctica","Pasture","Sub_Region",0,0,0,0
"110","Caribbean","Pasture","Sub_Region",61017.6212125491,57013.6024145219,51952.6520152057,51243.8521959906
"111","Central Africa","Pasture","Sub_Region",1054313.95546769,1278429.67795829,1176800.86583187,1207247.59421591
"112","Central Asia","Pasture","Sub_Region",2608451.8509157,2625193.86942657,2644486.67890589,2629601.42038309
"113","Central and Western Europe","Pasture","Sub_Region",889673.672904857,847348.668254074,660790.193103435,568712.450762912
"114","East Africa and adjacent islands","Pasture","Sub_Region",1865918.01203581,1754604.75312211,1433524.84937946,1547939.57839656
"115","Eastern Europe","Pasture","Sub_Region",1141359.01743065,1087431.37882906,1010257.31805876,1027721.10280705
"116","Mesoamerica","Pasture","Sub_Region",919682.713247287,921825.747364013,824277.651761271,815656.70847286
"117","North Africa","Pasture","Sub_Region",1384113.9003907,1346277.06104401,1211382.42735358,1238717.94232486
"118","North America","Pasture","Sub_Region",2673726.15309633,2583684.15970232,2594596.54260444,2691355.42401222
"119","North-East Asia","Pasture","Sub_Region",5188099.90176893,5257705.65243864,5195000.85102007,5226702.86555731
"120","Oceania","Pasture","Sub_Region",3460741.77670474,3425939.9871966,3241513.61096428,3236019.97190371
"121","South America","Pasture","Sub_Region",4809738.25044835,4727046.48770892,4099649.30410004,4207212.61640987
"122","South Asia","Pasture","Sub_Region",1649970.67143997,1470454.65936134,1424893.16025095,1421550.82950403
"123","South-East Asia","Pasture","Sub_Region",176870.51183418,172189.913679394,157715.915818086,151534.414927288
"124","Southern Africa","Pasture","Sub_Region",2874236.36102222,2763816.93145431,2218127.15784418,2329174.71560007
"125","West Africa","Pasture","Sub_Region",1457636.30465252,1086527.26607988,960707.15407493,970312.849210564
"126","Western Asia","Pasture","Sub_Region",884112.764406667,1093527.85676123,1092615.31134875,1118794.22765765
"127","Antarctica","Primary_vegetation","Sub_Region",1519.04416943512,1519.04416943512,1519.04416943512,1519.04416943512
"128","Caribbean","Primary_vegetation","Sub_Region",100304.942134793,79903.1663672562,75428.4823322011,75109.6071142533
"129","Central Africa","Primary_vegetation","Sub_Region",3275868.94337893,2963909.28477314,2955038.30866507,2900296.24250703
"130","Central Asia","Primary_vegetation","Sub_Region",835998.007339909,650018.410641873,597533.369590232,596922.289644882
"131","Central and Western Europe","Primary_vegetation","Sub_Region",1477884.8365737,823420.352119559,499724.570856218,357139.195186509
"132","East Africa and adjacent islands","Primary_vegetation","Sub_Region",1952169.85345905,1820306.32696625,1684542.1893665,1624867.39654607
"133","Eastern Europe","Primary_vegetation","Sub_Region",13315374.0023379,12352864.4126522,12079594.6866507,11927930.576434
"134","Mesoamerica","Primary_vegetation","Sub_Region",1096596.84702361,977690.779016072,963488.984790844,955928.297518
"135","North Africa","Primary_vegetation","Sub_Region",6569831.70225845,6260551.23072427,6189005.79496199,6132564.91124415
"136","North America","Primary_vegetation","Sub_Region",12886067.1380674,10960376.9660043,10388579.8244388,9868253.57619431
"137","North-East Asia","Primary_vegetation","Sub_Region",3689241.23344588,2959395.64745979,2874761.89052175,2595773.71426122
"138","Oceania","Primary_vegetation","Sub_Region",3713194.8263999,3353995.83780675,3177242.96625272,3131485.54537114
"139","South America","Primary_vegetation","Sub_Region",9509935.22841532,8636713.70363933,8188814.96766681,8076267.6594243
"140","South Asia","Primary_vegetation","Sub_Region",1684495.39674748,1305907.34969889,1242462.4274269,1170738.35996652
"141","South-East Asia","Primary_vegetation","Sub_Region",2287096.30744237,2099788.1288955,1928634.88276492,1799018.22934117
"142","Southern Africa","Primary_vegetation","Sub_Region",2319517.28422227,2159633.43108042,2066760.99938938,1896287.44718121
"143","West Africa","Primary_vegetation","Sub_Region",2039753.13257194,1834994.08677615,1833633.03738932,1765232.58970098
"144","Western Asia","Primary_vegetation","Sub_Region",2455003.57221877,2010013.838073,1995467.04896037,1950277.40124726
